,Ano,ID Eleccion,ID Region,Region,Territorio,Candidato,Sexo,Edad,ID Partido,Partido
0,2013,presidencial,0.0,nacional,nacional,sfeir younis alfredo,hombre,66,pev,partido ecologista verde
1,2013,presidencial,0.0,nacional,nacional,bachelet jeria michelle,mujer,62,ps,partido socialista de chile
3,2013,presidencial,0.0,nacional,nacional,parisi fernandez franco aldo,hombre,46,ind,independiente
6,2013,presidencial,0.0,nacional,nacional,claude reyes marcel,hombre,56,ph,partido humanista
7,2013,presidencial,0.0,nacional,nacional,miranda meneses roxana,mujer,46,igualdad,partido igualdad
9,2013,senadores,2.0,de antofagasta,circunscripcion senatorial 2,rojas molina manuel ernesto,hombre,54,udi,union democrata independiente
10,2013,senadores,2.0,de antofagasta,circunscripcion senatorial 2,cantero ojeda carlos,hombre,57,ind,independiente
11,2013,senadores,2.0,de antofagasta,circunscripcion senatorial 2,guevara cortes daniel,hombre,41,ind,independiente
12,2013,senadores,2.0,de antofagasta,circunscripcion senatorial 2,orrego henriquez jimena estrella,mujer,46,ind,independiente
13,2013,senadores,2.0,de antofagasta,circunscripcion senatorial 2,araya guerrero pedro,hombre,39,ind,independiente
15,2013,senadores,2.0,de antofagasta,circunscripcion senatorial 2,contreras brana gisela,mujer,37,ph,partido humanista
16,2013,senadores,4.0,de coquimbo,circunscripcion senatorial 4,bertolino rendic mario,hombre,59,rn,renovacion nacional
17,2013,senadores,4.0,de coquimbo,circunscripcion senatorial 4,uriarte herrera gonzalo,hombre,48,udi,union democrata independiente
18,2013,senadores,4.0,de coquimbo,circunscripcion senatorial 4,pizarro soto jorge,hombre,61,pdc,partido democrata cristiano
19,2013,senadores,4.0,de coquimbo,circunscripcion senatorial 4,munoz d'albora adriana,mujer,65,ppd,partido por la democracia
20,2013,senadores,4.0,de coquimbo,circunscripcion senatorial 4,vega gonzalez luis,hombre,51,ph,partido humanista
21,2013,senadores,6.0,del libertador general bernardo o'higgins,circunscripcion senatorial 9,cardemil herrera alberto,hombre,68,rn,renovacion nacional
22,2013,senadores,6.0,del libertador general bernardo o'higgins,circunscripcion senatorial 9,garcia-huidobro sanfuentes alejandro,hombre,61,udi,union democrata independiente
23,2013,senadores,6.0,del libertador general bernardo o'higgins,circunscripcion senatorial 9,latorre carmona juan carlos,hombre,64,pdc,partido democrata cristiano
24,2013,senadores,6.0,del libertador general bernardo o'higgins,circunscripcion senatorial 9,letelier morel juan pablo,hombre,52,ps,partido socialista de chile
25,2013,senadores,6.0,del libertador general bernardo o'higgins,circunscripcion senatorial 9,garcia merino luis felipe,hombre,61,ph,partido humanista
26,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,contesse gonzalez daniel,hombre,67,ind,independiente
27,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,van rysselberghe herrera jacqueline,mujer,48,udi,union democrata independiente
28,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,gonzalez gatica graciela,mujer,44,pev,partido ecologista verde
29,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,sandoval ojeda javier,hombre,43,igualdad,partido igualdad
31,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,escalona medina camilo,hombre,58,ps,partido socialista de chile
32,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,munoz gutierrez loreto,mujer,54,ph,partido humanista
33,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,garay pita rafael eduardo,hombre,37,ind,independiente
34,2013,senadores,8.0,del biobio,circunscripcion senatorial 12,vasquez varela osman lenin,hombre,42,ind,independiente
35,2013,senadores,8.0,del biobio,circunscripcion senatorial 13,oyarce suazo rosa,mujer,56,rn,renovacion nacional
36,2013,senadores,8.0,del biobio,circunscripcion senatorial 13,perez varela victor,hombre,59,udi,union democrata independiente
37,2013,senadores,8.0,del biobio,circunscripcion senatorial 13,carrasco fray juanita odett,mujer,64,ind,independiente
38,2013,senadores,8.0,del biobio,circunscripcion senatorial 13,seguel san martin hector joaquin,hombre,57,ind,independiente
39,2013,senadores,8.0,del biobio,circunscripcion senatorial 13,sabag castillo hosain,hombre,76,pdc,partido democrata cristiano
40,2013,senadores,8.0,del biobio,circunscripcion senatorial 13,harboe bascunan felipe,hombre,41,ppd,partido por la democracia
42,2013,senadores,10.0,de los lagos,circunscripcion senatorial 17,moreira barros ivan,hombre,56,udi,union democrata independiente
45,2013,senadores,12.0,de magallanes y de la antartica chilena,circunscripcion senatorial 19,berger dempster francisco,hombre,51,ind,independiente
46,2013,senadores,12.0,de magallanes y de la antartica chilena,circunscripcion senatorial 19,marinovic solo de zaldivar miodrag,hombre,46,ind,independiente
47,2013,senadores,12.0,de magallanes y de la antartica chilena,circunscripcion senatorial 19,bianchi chelech carlos,hombre,53,ind,independiente
48,2013,senadores,12.0,de magallanes y de la antartica chilena,circunscripcion senatorial 19,tapia ogeda sergio nelson,hombre,64,ind,independiente
50,2013,senadores,12.0,de magallanes y de la antartica chilena,circunscripcion senatorial 19,munoz aburto pedro,hombre,69,ps,partido socialista de chile
51,2013,senadores,13.0,metropolitana de santiago,circunscripcion senatorial 7,allamand zavala andres,hombre,57,rn,renovacion nacional
53,2013,senadores,13.0,metropolitana de santiago,circunscripcion senatorial 7,gutierrez gonzalez eduardo,hombre,62,ind,independiente
